"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3637","has title","","Fri Jun 13 17:29:00 IST 2025","passed","Fri Jun 13 17:29:03 IST 2025","","example.spec.ts","",""
"","3673","get started link","","Fri Jun 13 17:29:03 IST 2025","passed","Fri Jun 13 17:29:07 IST 2025","","example.spec.ts","",""
